,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,characteristics_ch1.1,characteristics_ch1.2,treatment_protocol_ch1,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,description,data_processing,platform_id,contact_name,contact_email,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,contact_web_link,supplementary_file,data_row_count,relation,relation.1
GSM886835,1321N1,GSM886835,Public on Mar 20 2012,Mar 06 2012,Sep 01 2016,RNA,1,ECACC,Homo sapiens,primary site: central_nervous_system,histology: glioma,histology subtype1: astrocytoma,None,"Cells lines were cultured following growth recommendations from the cell line source vendors. Cells were incubated at 37 ºC at 5% CO2 until 70% confluency was reached.  Pellets were harvested 48 hours post media change, flash frozen, and stored at -80 ºC until nucleic acid extraction.",total RNA,"RNA was isolated from frozen cell pellets, containing an average cell count of 4.5 million cells, via Trizol (Invitrogen) extraction following the manufacturers instructions. Samples were quantified using both the Nanodrop 8000 spectrophotometer (ThermoScientific) and via Agilent 2100 Bioanalyzer.",Biotin,"The Affymetrix One-Cycle Target labeling assay was used to synthesize hybridization target using 1 mg of total RNA. Labeled cRNA hybridization target was produced using a 3-day, semi-automated workflow",9606,"Fragmentation of the biotin-labeled cRNA prepared the sample for hybridization on the GeneChip Human U133 2.0 (PN 900467). The washing and staining was performed on the GeneChip Fluidics station using standard Affymetrix protocols outlined in the Expression Analysis Technical Manual, 2001, Affymetrix.",The GeneChip® Scanner 3000 was used for scanning the arrays.,Gene expression data from the CCLE,"The data were analyzed with 2.14.0, using the packages affyio_1.22.0 and affy_1.32.0, and RMA as normalization method. rma() was used with default options (normalize=TRUE, background=TRUE) and with the package hgu133plus2hsentrezgcdf_15.0.0 from Brainarray for the CDF file.",GPL15308,"Nicolas,,Stransky",stransky@broadinstitute.org,Levi Garraway,Cancer Program,Broad Institute,7 Cambridge center,Cambridge,MA,2118,USA,www.broadinstitute.org/ccle,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886835/suppl/GSM886835.CEL.gz,18926,Reanalyzed by: GSE86362,
GSM886836,143B,GSM886836,Public on Mar 20 2012,Mar 06 2012,Sep 01 2016,RNA,1,ATCC,Homo sapiens,primary site: bone,histology: osteosarcoma,,None,"Cells lines were cultured following growth recommendations from the cell line source vendors. Cells were incubated at 37 ºC at 5% CO2 until 70% confluency was reached.  Pellets were harvested 48 hours post media change, flash frozen, and stored at -80 ºC until nucleic acid extraction.",total RNA,"RNA was isolated from frozen cell pellets, containing an average cell count of 4.5 million cells, via Trizol (Invitrogen) extraction following the manufacturers instructions. Samples were quantified using both the Nanodrop 8000 spectrophotometer (ThermoScientific) and via Agilent 2100 Bioanalyzer.",Biotin,"The Affymetrix One-Cycle Target labeling assay was used to synthesize hybridization target using 1 mg of total RNA. Labeled cRNA hybridization target was produced using a 3-day, semi-automated workflow",9606,"Fragmentation of the biotin-labeled cRNA prepared the sample for hybridization on the GeneChip Human U133 2.0 (PN 900467). The washing and staining was performed on the GeneChip Fluidics station using standard Affymetrix protocols outlined in the Expression Analysis Technical Manual, 2001, Affymetrix.",The GeneChip® Scanner 3000 was used for scanning the arrays.,Gene expression data from the CCLE,"The data were analyzed with 2.14.0, using the packages affyio_1.22.0 and affy_1.32.0, and RMA as normalization method. rma() was used with default options (normalize=TRUE, background=TRUE) and with the package hgu133plus2hsentrezgcdf_15.0.0 from Brainarray for the CDF file.",GPL15308,"Nicolas,,Stransky",stransky@broadinstitute.org,Levi Garraway,Cancer Program,Broad Institute,7 Cambridge center,Cambridge,MA,2118,USA,www.broadinstitute.org/ccle,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886836/suppl/GSM886836.CEL.gz,18926,Reanalyzed by: GSE86362,
GSM886837,22Rv1,GSM886837,Public on Mar 20 2012,Mar 06 2012,Sep 01 2016,RNA,1,ATCC,Homo sapiens,primary site: prostate,histology: carcinoma,,None,"Cells lines were cultured following growth recommendations from the cell line source vendors. Cells were incubated at 37 ºC at 5% CO2 until 70% confluency was reached.  Pellets were harvested 48 hours post media change, flash frozen, and stored at -80 ºC until nucleic acid extraction.",total RNA,"RNA was isolated from frozen cell pellets, containing an average cell count of 4.5 million cells, via Trizol (Invitrogen) extraction following the manufacturers instructions. Samples were quantified using both the Nanodrop 8000 spectrophotometer (ThermoScientific) and via Agilent 2100 Bioanalyzer.",Biotin,"The Affymetrix One-Cycle Target labeling assay was used to synthesize hybridization target using 1 mg of total RNA. Labeled cRNA hybridization target was produced using a 3-day, semi-automated workflow",9606,"Fragmentation of the biotin-labeled cRNA prepared the sample for hybridization on the GeneChip Human U133 2.0 (PN 900467). The washing and staining was performed on the GeneChip Fluidics station using standard Affymetrix protocols outlined in the Expression Analysis Technical Manual, 2001, Affymetrix.",The GeneChip® Scanner 3000 was used for scanning the arrays.,Gene expression data from the CCLE,"The data were analyzed with 2.14.0, using the packages affyio_1.22.0 and affy_1.32.0, and RMA as normalization method. rma() was used with default options (normalize=TRUE, background=TRUE) and with the package hgu133plus2hsentrezgcdf_15.0.0 from Brainarray for the CDF file.",GPL15308,"Nicolas,,Stransky",stransky@broadinstitute.org,Levi Garraway,Cancer Program,Broad Institute,7 Cambridge center,Cambridge,MA,2118,USA,www.broadinstitute.org/ccle,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886837/suppl/GSM886837.CEL.gz,18926,Reanalyzed by: GSE86362,
GSM886838,23132/87,GSM886838,Public on Mar 20 2012,Mar 06 2012,Sep 01 2016,RNA,1,DSMZ,Homo sapiens,primary site: stomach,histology: carcinoma,histology subtype1: adenocarcinoma,None,"Cells lines were cultured following growth recommendations from the cell line source vendors. Cells were incubated at 37 ºC at 5% CO2 until 70% confluency was reached.  Pellets were harvested 48 hours post media change, flash frozen, and stored at -80 ºC until nucleic acid extraction.",total RNA,"RNA was isolated from frozen cell pellets, containing an average cell count of 4.5 million cells, via Trizol (Invitrogen) extraction following the manufacturers instructions. Samples were quantified using both the Nanodrop 8000 spectrophotometer (ThermoScientific) and via Agilent 2100 Bioanalyzer.",Biotin,"The Affymetrix One-Cycle Target labeling assay was used to synthesize hybridization target using 1 mg of total RNA. Labeled cRNA hybridization target was produced using a 3-day, semi-automated workflow",9606,"Fragmentation of the biotin-labeled cRNA prepared the sample for hybridization on the GeneChip Human U133 2.0 (PN 900467). The washing and staining was performed on the GeneChip Fluidics station using standard Affymetrix protocols outlined in the Expression Analysis Technical Manual, 2001, Affymetrix.",The GeneChip® Scanner 3000 was used for scanning the arrays.,Gene expression data from the CCLE,"The data were analyzed with 2.14.0, using the packages affyio_1.22.0 and affy_1.32.0, and RMA as normalization method. rma() was used with default options (normalize=TRUE, background=TRUE) and with the package hgu133plus2hsentrezgcdf_15.0.0 from Brainarray for the CDF file.",GPL15308,"Nicolas,,Stransky",stransky@broadinstitute.org,Levi Garraway,Cancer Program,Broad Institute,7 Cambridge center,Cambridge,MA,2118,USA,www.broadinstitute.org/ccle,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886838/suppl/GSM886838.CEL.gz,18926,Reanalyzed by: GSE86362,
GSM886839,42-MG-BA,GSM886839,Public on Mar 20 2012,Mar 06 2012,Sep 01 2016,RNA,1,DSMZ,Homo sapiens,primary site: central_nervous_system,histology: glioma,histology subtype1: astrocytoma_Grade_IV,None,"Cells lines were cultured following growth recommendations from the cell line source vendors. Cells were incubated at 37 ºC at 5% CO2 until 70% confluency was reached.  Pellets were harvested 48 hours post media change, flash frozen, and stored at -80 ºC until nucleic acid extraction.",total RNA,"RNA was isolated from frozen cell pellets, containing an average cell count of 4.5 million cells, via Trizol (Invitrogen) extraction following the manufacturers instructions. Samples were quantified using both the Nanodrop 8000 spectrophotometer (ThermoScientific) and via Agilent 2100 Bioanalyzer.",Biotin,"The Affymetrix One-Cycle Target labeling assay was used to synthesize hybridization target using 1 mg of total RNA. Labeled cRNA hybridization target was produced using a 3-day, semi-automated workflow",9606,"Fragmentation of the biotin-labeled cRNA prepared the sample for hybridization on the GeneChip Human U133 2.0 (PN 900467). The washing and staining was performed on the GeneChip Fluidics station using standard Affymetrix protocols outlined in the Expression Analysis Technical Manual, 2001, Affymetrix.",The GeneChip® Scanner 3000 was used for scanning the arrays.,Gene expression data from the CCLE,"The data were analyzed with 2.14.0, using the packages affyio_1.22.0 and affy_1.32.0, and RMA as normalization method. rma() was used with default options (normalize=TRUE, background=TRUE) and with the package hgu133plus2hsentrezgcdf_15.0.0 from Brainarray for the CDF file.",GPL15308,"Nicolas,,Stransky",stransky@broadinstitute.org,Levi Garraway,Cancer Program,Broad Institute,7 Cambridge center,Cambridge,MA,2118,USA,www.broadinstitute.org/ccle,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886839/suppl/GSM886839.CEL.gz,18926,Reanalyzed by: GSE86362,
GSM886840,5637,GSM886840,Public on Mar 20 2012,Mar 06 2012,Sep 01 2016,RNA,1,ATCC,Homo sapiens,primary site: urinary_tract,histology: carcinoma,,None,"Cells lines were cultured following growth recommendations from the cell line source vendors. Cells were incubated at 37 ºC at 5% CO2 until 70% confluency was reached.  Pellets were harvested 48 hours post media change, flash frozen, and stored at -80 ºC until nucleic acid extraction.",total RNA,"RNA was isolated from frozen cell pellets, containing an average cell count of 4.5 million cells, via Trizol (Invitrogen) extraction following the manufacturers instructions. Samples were quantified using both the Nanodrop 8000 spectrophotometer (ThermoScientific) and via Agilent 2100 Bioanalyzer.",Biotin,"The Affymetrix One-Cycle Target labeling assay was used to synthesize hybridization target using 1 mg of total RNA. Labeled cRNA hybridization target was produced using a 3-day, semi-automated workflow",9606,"Fragmentation of the biotin-labeled cRNA prepared the sample for hybridization on the GeneChip Human U133 2.0 (PN 900467). The washing and staining was performed on the GeneChip Fluidics station using standard Affymetrix protocols outlined in the Expression Analysis Technical Manual, 2001, Affymetrix.",The GeneChip® Scanner 3000 was used for scanning the arrays.,Gene expression data from the CCLE,"The data were analyzed with 2.14.0, using the packages affyio_1.22.0 and affy_1.32.0, and RMA as normalization method. rma() was used with default options (normalize=TRUE, background=TRUE) and with the package hgu133plus2hsentrezgcdf_15.0.0 from Brainarray for the CDF file.",GPL15308,"Nicolas,,Stransky",stransky@broadinstitute.org,Levi Garraway,Cancer Program,Broad Institute,7 Cambridge center,Cambridge,MA,2118,USA,www.broadinstitute.org/ccle,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886840/suppl/GSM886840.CEL.gz,18926,Reanalyzed by: GSE86362,
GSM886841,639-V,GSM886841,Public on Mar 20 2012,Mar 06 2012,Sep 01 2016,RNA,1,DSMZ,Homo sapiens,primary site: urinary_tract,histology: carcinoma,histology subtype1: transitional_cell_carcinoma,None,"Cells lines were cultured following growth recommendations from the cell line source vendors. Cells were incubated at 37 ºC at 5% CO2 until 70% confluency was reached.  Pellets were harvested 48 hours post media change, flash frozen, and stored at -80 ºC until nucleic acid extraction.",total RNA,"RNA was isolated from frozen cell pellets, containing an average cell count of 4.5 million cells, via Trizol (Invitrogen) extraction following the manufacturers instructions. Samples were quantified using both the Nanodrop 8000 spectrophotometer (ThermoScientific) and via Agilent 2100 Bioanalyzer.",Biotin,"The Affymetrix One-Cycle Target labeling assay was used to synthesize hybridization target using 1 mg of total RNA. Labeled cRNA hybridization target was produced using a 3-day, semi-automated workflow",9606,"Fragmentation of the biotin-labeled cRNA prepared the sample for hybridization on the GeneChip Human U133 2.0 (PN 900467). The washing and staining was performed on the GeneChip Fluidics station using standard Affymetrix protocols outlined in the Expression Analysis Technical Manual, 2001, Affymetrix.",The GeneChip® Scanner 3000 was used for scanning the arrays.,Gene expression data from the CCLE,"The data were analyzed with 2.14.0, using the packages affyio_1.22.0 and affy_1.32.0, and RMA as normalization method. rma() was used with default options (normalize=TRUE, background=TRUE) and with the package hgu133plus2hsentrezgcdf_15.0.0 from Brainarray for the CDF file.",GPL15308,"Nicolas,,Stransky",stransky@broadinstitute.org,Levi Garraway,Cancer Program,Broad Institute,7 Cambridge center,Cambridge,MA,2118,USA,www.broadinstitute.org/ccle,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886841/suppl/GSM886841.CEL.gz,18926,Reanalyzed by: GSE86362,
GSM886842,647-V,GSM886842,Public on Mar 20 2012,Mar 06 2012,Sep 01 2016,RNA,1,DSMZ,Homo sapiens,primary site: urinary_tract,histology: carcinoma,histology subtype1: transitional_cell_carcinoma,None,"Cells lines were cultured following growth recommendations from the cell line source vendors. Cells were incubated at 37 ºC at 5% CO2 until 70% confluency was reached.  Pellets were harvested 48 hours post media change, flash frozen, and stored at -80 ºC until nucleic acid extraction.",total RNA,"RNA was isolated from frozen cell pellets, containing an average cell count of 4.5 million cells, via Trizol (Invitrogen) extraction following the manufacturers instructions. Samples were quantified using both the Nanodrop 8000 spectrophotometer (ThermoScientific) and via Agilent 2100 Bioanalyzer.",Biotin,"The Affymetrix One-Cycle Target labeling assay was used to synthesize hybridization target using 1 mg of total RNA. Labeled cRNA hybridization target was produced using a 3-day, semi-automated workflow",9606,"Fragmentation of the biotin-labeled cRNA prepared the sample for hybridization on the GeneChip Human U133 2.0 (PN 900467). The washing and staining was performed on the GeneChip Fluidics station using standard Affymetrix protocols outlined in the Expression Analysis Technical Manual, 2001, Affymetrix.",The GeneChip® Scanner 3000 was used for scanning the arrays.,Gene expression data from the CCLE,"The data were analyzed with 2.14.0, using the packages affyio_1.22.0 and affy_1.32.0, and RMA as normalization method. rma() was used with default options (normalize=TRUE, background=TRUE) and with the package hgu133plus2hsentrezgcdf_15.0.0 from Brainarray for the CDF file.",GPL15308,"Nicolas,,Stransky",stransky@broadinstitute.org,Levi Garraway,Cancer Program,Broad Institute,7 Cambridge center,Cambridge,MA,2118,USA,www.broadinstitute.org/ccle,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886842/suppl/GSM886842.CEL.gz,18926,Reanalyzed by: GSE86362,
GSM886843,697,GSM886843,Public on Mar 20 2012,Mar 06 2012,Mar 20 2012,RNA,1,DSMZ,Homo sapiens,primary site: haematopoietic_and_lymphoid_tissue,histology: haematopoietic_neoplasm,histology subtype1: acute_lymphoblastic_leukaemia,None,"Cells lines were cultured following growth recommendations from the cell line source vendors. Cells were incubated at 37 ºC at 5% CO2 until 70% confluency was reached.  Pellets were harvested 48 hours post media change, flash frozen, and stored at -80 ºC until nucleic acid extraction.",total RNA,"RNA was isolated from frozen cell pellets, containing an average cell count of 4.5 million cells, via Trizol (Invitrogen) extraction following the manufacturers instructions. Samples were quantified using both the Nanodrop 8000 spectrophotometer (ThermoScientific) and via Agilent 2100 Bioanalyzer.",Biotin,"The Affymetrix One-Cycle Target labeling assay was used to synthesize hybridization target using 1 mg of total RNA. Labeled cRNA hybridization target was produced using a 3-day, semi-automated workflow",9606,"Fragmentation of the biotin-labeled cRNA prepared the sample for hybridization on the GeneChip Human U133 2.0 (PN 900467). The washing and staining was performed on the GeneChip Fluidics station using standard Affymetrix protocols outlined in the Expression Analysis Technical Manual, 2001, Affymetrix.",The GeneChip® Scanner 3000 was used for scanning the arrays.,Gene expression data from the CCLE,"The data were analyzed with 2.14.0, using the packages affyio_1.22.0 and affy_1.32.0, and RMA as normalization method. rma() was used with default options (normalize=TRUE, background=TRUE) and with the package hgu133plus2hsentrezgcdf_15.0.0 from Brainarray for the CDF file.",GPL15308,"Nicolas,,Stransky",stransky@broadinstitute.org,Levi Garraway,Cancer Program,Broad Institute,7 Cambridge center,Cambridge,MA,2118,USA,www.broadinstitute.org/ccle,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886843/suppl/GSM886843.CEL.gz,18926,,
GSM886844,769-P,GSM886844,Public on Mar 20 2012,Mar 06 2012,Sep 01 2016,RNA,1,ATCC,Homo sapiens,primary site: kidney,histology: carcinoma,histology subtype1: clear_cell_renal_cell_carcinoma,None,"Cells lines were cultured following growth recommendations from the cell line source vendors. Cells were incubated at 37 ºC at 5% CO2 until 70% confluency was reached.  Pellets were harvested 48 hours post media change, flash frozen, and stored at -80 ºC until nucleic acid extraction.",total RNA,"RNA was isolated from frozen cell pellets, containing an average cell count of 4.5 million cells, via Trizol (Invitrogen) extraction following the manufacturers instructions. Samples were quantified using both the Nanodrop 8000 spectrophotometer (ThermoScientific) and via Agilent 2100 Bioanalyzer.",Biotin,"The Affymetrix One-Cycle Target labeling assay was used to synthesize hybridization target using 1 mg of total RNA. Labeled cRNA hybridization target was produced using a 3-day, semi-automated workflow",9606,"Fragmentation of the biotin-labeled cRNA prepared the sample for hybridization on the GeneChip Human U133 2.0 (PN 900467). The washing and staining was performed on the GeneChip Fluidics station using standard Affymetrix protocols outlined in the Expression Analysis Technical Manual, 2001, Affymetrix.",The GeneChip® Scanner 3000 was used for scanning the arrays.,Gene expression data from the CCLE,"The data were analyzed with 2.14.0, using the packages affyio_1.22.0 and affy_1.32.0, and RMA as normalization method. rma() was used with default options (normalize=TRUE, background=TRUE) and with the package hgu133plus2hsentrezgcdf_15.0.0 from Brainarray for the CDF file.",GPL15308,"Nicolas,,Stransky",stransky@broadinstitute.org,Levi Garraway,Cancer Program,Broad Institute,7 Cambridge center,Cambridge,MA,2118,USA,www.broadinstitute.org/ccle,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886844/suppl/GSM886844.CEL.gz,18926,Reanalyzed by: GSE86362,
