"","PROBEID","SYMBOL","ENTREZID","GENENAME"
"1","100009676_at","ZBTB11-AS1","100009676","ZBTB11 antisense RNA 1"
"2","10000_at","AKT3","10000","AKT serine/threonine kinase 3"
"3","10001_at","MED6","10001","mediator complex subunit 6"
"4","10002_at","NR2E3","10002","nuclear receptor subfamily 2 group E member 3"
"5","10003_at","NAALAD2","10003","N-acetylated alpha-linked acidic dipeptidase 2"
"6","100048912_at","CDKN2B-AS1","100048912","CDKN2B antisense RNA 1"
"7","100049716_at","LOC100049716","100049716","uncharacterized LOC100049716"
"8","10004_at","NAALADL1","10004","N-acetylated alpha-linked acidic dipeptidase like 1"
"9","10005_at","ACOT8","10005","acyl-CoA thioesterase 8"
"10","10006_at","ABI1","10006","abl interactor 1"
"11","10007_at","GNPDA1","10007","glucosamine-6-phosphate deaminase 1"
"12","10008_at","KCNE3","10008","potassium voltage-gated channel subfamily E regulatory subunit 3"
"13","100093630_at","SNHG8","100093630","small nucleolar RNA host gene 8"
"14","10009_at","ZBTB33","10009","zinc finger and BTB domain containing 33"
"15","1000_at","CDH2","1000","cadherin 2"
"16","100101467_at","ZSCAN30","100101467","zinc finger and SCAN domain containing 30"
"17","100101938_at","ANKRD26P3","100101938","ankyrin repeat domain 26 pseudogene 3"
"18","10010_at","TANK","10010","TRAF family member associated NFKB activator"
"19","100113407_at","TMEM170B","100113407","transmembrane protein 170B"
"20","10011_at","SRA1","10011","steroid receptor RNA activator 1"
"21","100124700_at","HOTAIR","100124700","HOX transcript antisense RNA"
"22","100125288_at","ZGLP1","100125288","zinc finger, GATA-like protein 1"
"23","100126784_at","LOC100126784","100126784","uncharacterized LOC100126784"
"24","100126791_at","EGOT","100126791","eosinophil granule ontogeny transcript (non-protein coding)"
"25","100126793_at","GHRLOS","100126793","ghrelin opposite strand/antisense RNA"
"26","100127888_at","SLCO4A1-AS1","100127888","SLCO4A1 antisense RNA 1"
"27","100127891_at",NA,NA,NA
"28","100127950_at","HECW1-IT1","100127950","HECW1 intronic transcript 1"
"29","100127974_at","LOC100127974","100127974","uncharacterized LOC100127974"
"30","100127983_at","C8orf88","100127983","chromosome 8 open reading frame 88"
"31","100128025_at","WWTR1-AS1","100128025","WWTR1 antisense RNA 1"
"32","100128071_at","FAM229A","100128071","family with sequence similarity 229 member A"
"33","100128098_at","ST8SIA6-AS1","100128098","ST8SIA6 antisense RNA 1"
"34","100128124_at","HGC6.3","100128124","uncharacterized LOC100128124"
"35","100128126_at","STAU2-AS1","100128126","STAU2 antisense RNA 1"
"36","100128139_at","LINC01233","100128139","long intergenic non-protein coding RNA 1233"
"37","100128164_at","LOC100128164","100128164","four and a half LIM domains 1 pseudogene"
"38","100128176_at","UST-AS1","100128176","UST antisense RNA 1"
"39","100128191_at","TMPO-AS1","100128191","TMPO antisense RNA 1"
"40","100128239_at","LOC100128239","100128239","uncharacterized LOC100128239"
"41","100128252_at","ZNF667-AS1","100128252","ZNF667 antisense RNA 1 (head to head)"
"42","100128288_at","LOC100128288","100128288","uncharacterized LOC100128288"
"43","100128292_at","DLG5-AS1","100128292","DLG5 antisense RNA 1"
"44","100128343_at",NA,NA,NA
"45","100128361_at","LOC100128361","100128361","uncharacterized LOC100128361"
"46","100128374_at",NA,NA,NA
"47","100128496_at","C20orf78","100128496","chromosome 20 open reading frame 78"
"48","100128511_at","NEBL-AS1","100128511","NEBL antisense RNA 1"
"49","100128554_at","LINC02347","100128554","long intergenic non-protein coding RNA 2347"
"50","100128590_at","SLC8A1-AS1","100128590","SLC8A1 antisense RNA 1"
"51","100128640_at","ACVR2B-AS1","100128640","ACVR2B antisense RNA 1"
"52","100128653_at","LOC100128653","100128653","uncharacterized LOC100128653"
"53","100128731_at","OST4","100128731","oligosaccharyltransferase complex subunit 4, non-catalytic"
"54","100128737_at",NA,NA,NA
"55","100128750_at","RBPMS-AS1","100128750","RBPMS antisense RNA 1"
"56","100128751_at",NA,NA,NA
"57","100128782_at","LINC00476","100128782","long intergenic non-protein coding RNA 476"
"58","100128788_at","SRRM2-AS1","100128788","SRRM2 antisense RNA 1"
"59","100128822_at","LINC01003","100128822","long intergenic non-protein coding RNA 1003"
"60","100128840_at","LOC100128840","100128840","uncharacterized LOC100128840"
"61","100128881_at","VPS9D1-AS1","100128881","VPS9D1 antisense RNA 1"
"62","100128893_at","GATA6-AS1","100128893","GATA6 antisense RNA 1 (head to head)"
"63","100128909_at",NA,NA,NA
"64","100128927_at","ZBTB42","100128927","zinc finger and BTB domain containing 42"
"65","100128946_at","LINC01310","100128946","long intergenic non-protein coding RNA 1310"
"66","100128977_at","MAPT-AS1","100128977","MAPT antisense RNA 1"
"67","100128993_at","LOC100128993","100128993","uncharacterized LOC100128993"
"68","100128998_at","C20orf181","100128998","chromosome 20 open reading frame 181"
"69","100129034_at","LOC100129034","100129034","uncharacterized LOC100129034"
"70","100129098_at","LOC100129098","100129098","translation initiation factor IF-2"
"71","100129104_at","LOC100129104","100129104","uncharacterized LOC100129104"
"72","100129128_at","KHDC1L","100129128","KH domain containing 1 like"
"73","100129195_at","ZSCAN16-AS1","100129195","ZSCAN16 antisense RNA 1"
"74","100129196_at","MATN1-AS1","100129196","MATN1 antisense RNA 1"
"75","100129250_at","SMIM27","100129250","small integral membrane protein 27"
"76","100129271_at","C1orf68","100129271","chromosome 1 open reading frame 68"
"77","100129361_at","SMIM10L1","100129361","small integral membrane protein 10 like 1"
"78","100129387_at","GABPB1-AS1","100129387","GABPB1 antisense RNA 1"
"79","100129427_at","DDC-AS1","100129427","DDC antisense RNA 1"
"80","100129460_at","DPY19L1P1","100129460","DPY19L1 pseudogene 1"
"81","100129463_at",NA,NA,NA
"82","100129476_at","LOC100129476","100129476","uncharacterized LOC100129476"
"83","100129482_at","ZNF37BP","100129482","zinc finger protein 37B, pseudogene"
"84","100129502_at",NA,NA,NA
"85","100129550_at","LINC02035","100129550","long intergenic non-protein coding RNA 2035"
"86","100129597_at","LINC00462","100129597","long intergenic non-protein coding RNA 462"
"87","100129617_at","LOC100129617","100129617","uncharacterized LOC100129617"
"88","100129620_at","LOC100129620","100129620","uncharacterized LOC100129620"
"89","100129654_at","TCF24","100129654","transcription factor 24"
"90","100129662_at","FGF13-AS1","100129662","FGF13 antisense RNA 1"
"91","100129716_at","ARRDC3-AS1","100129716","ARRDC3 antisense RNA 1"
"92","100129722_at","STPG3-AS1","100129722","STPG3 antisense RNA 1"
"93","100129726_at","LINC01126","100129726","long intergenic non-protein coding RNA 1126"
"94","100129792_at","CCDC152","100129792","coiled-coil domain containing 152"
"95","100129794_at","SLC25A21-AS1","100129794","SLC25A21 antisense RNA 1"
"96","100129827_at","MRVI1-AS1","100129827","MRVI1 antisense RNA 1"
"97","100129845_at","PCOLCE-AS1","100129845","PCOLCE antisense RNA 1"
"98","100129858_at","SCOC-AS1","100129858","SCOC antisense RNA 1"
"99","100129917_at","LOC100129917","100129917","uncharacterized LOC100129917"
